"job_id","job_title","job_schedule_type","salary_year_avg","job_country","company_name"
226942,"Data Analyst","Full-time","650000.0","India","Mantys"
547382,"Director of Analytics","Full-time","336500.0","United States","Meta"
552322,"Associate Director- Data Insights","Full-time","255829.5","United States","AT&T"
99305,"Data Analyst, Marketing","Full-time","232423.0","United States","Pinterest Job Advertisements"
1021647,"Data Analyst (Hybrid/Remote)","Full-time","217000.0","United States","Uclahealthcareers"
168310,"Principal Data Analyst (Remote)","Full-time","205000.0","United States","SmartAsset"
731368,"Director, Data Analyst - HYBRID","Full-time","189309.0","United States","Inclusively"
310660,"Principal Data Analyst, AV Performance Analysis","Full-time","189000.0","United States","Motional"
1749593,"Principal Data Analyst","Full-time","186000.0","United States","SmartAsset"
387860,"ERM Data Analyst","Full-time","184000.0","United States","Get It Recruit - Information Technology"
